time,ST1,ST2,ST3,ST4
1080.016667,1236.266456,184.9571749,192.6311974,231.7847308
1085.016667,843.6436325,142.3766792,184.1623116,221.392074
1090.016667,975.0008981,189.0795223,206.9478854,233.9600567
1095.016667,769.1298141,155.6548941,197.8379528,206.7176025
1100.016667,939.8077295,197.117012,249.5126312,204.0006865
1105.016667,377.0355157,101.9969192,289.6213371,194.8739896
1110.016667,701.9429344,168.4059099,288.23654,158.2743602
1115.016667,819.3942634,200.9553361,357.9895111,155.9691143
1120.016667,825.5060239,231.5352607,408.7924597,146.8794106
1125.016667,658.7238385,196.8719535,433.8869542,140.16301
1130.016667,815.2579599,256.1270915,533.9364095,156.3069245
1135.016667,614.8199129,196.3738309,561.4754885,158.9118292
1140.016667,681.4608837,236.796486,631.4799263,186.6837889
1145.016667,762.7119713,259.365574,674.0823953,226.0126109
1150.016667,587.0428364,221.2841022,647.2401856,226.9404549
1155.016667,711.8511054,283.8350772,692.8538598,253.4684332
1160.016667,695.485471,284.3247099,764.9648878,306.0531471
1165.016667,560.6472052,230.1485881,755.7222483,310.877818
1170.016667,679.6203822,285.187339,773.2711462,352.2085493
1175.016667,746.3092976,316.9542279,689.072991,352.1884211
1180.016667,566.4087117,251.5619779,758.4497851,397.4166424
1185.016667,703.2416844,317.9795668,709.7096006,400.6184578
1190.016667,580.9620132,269.763768,727.7191907,436.3949672
1195.016667,662.7358958,316.7439821,904.0456843,566.6313822
1200.033333,691.6275198,329.993556,783.7758507,513.5172735
1205.016667,617.5782589,303.5554272,838.8333349,558.9941847
1210.016667,682.9719191,340.4243232,916.7175604,647.8394361
1215.016667,783.5875519,390.083962,794.83235,576.5707894
1220.016667,615.0461071,317.5373967,833.334966,644.4149423
1225.016667,692.1860759,357.5733734,917.8648969,740.9829534
1230.016667,601.0767447,313.8683374,790.5303669,657.8373721
1235.016667,648.6008002,344.1251044,804.7691912,688.6958231
1240.016667,947.7394898,554.8186015,1274.129227,1256.339552
1245.016667,885.3027775,531.7174018,1111.05672,1021.220252
1250.016667,1110.40773,652.1412468,1502.626372,1423.955586
1255.016667,1310.725697,812.7313514,1445.329725,1431.707025
1260.016667,1168.450569,726.8164601,1784.076955,1764.651401
1265.016667,1388.003737,868.7363855,2129.86798,2280.750177
1270.016667,1623.645366,1012.557584,2167.255276,2392.640432
1275.016667,1287.45185,817.4256332,2424.240394,2722.134287
1280.016667,1666.653993,1062.407315,2298.706341,2729.831868
1285.016667,1389.978098,893.4333346,2637.417697,3073.310551
1290.016667,1728.633512,1113.522575,3155.455891,3559.797917
1295.016667,1713.387506,1107.746695,3096.237303,3503.897906
1300.016667,1497.762767,967.0315186,2939.335413,3434.324679
1305.016667,1770.785126,1148.116079,3515.50272,3906.773583
